label,region
1040,Area 6d2 (PreCG) left
1041,Area 6d2 (PreCG) right
1042,Area 6d3 (SFS) left
1043,Area 6d3 (SFS) right
1044,CM (Amygdala) left
1045,CM (Amygdala) right
1046,Area hOc6 (POS) left
1047,Area hOc6 (POS) right
1048,Area hIP6 (IPS) left
1049,Area hIP6 (IPS) right
1050,Area hIP8 (IPS) left
1051,Area hIP8 (IPS) right
1052,Area hIP4 (IPS) left
1053,Area hIP4 (IPS) right
1054,Area hIP5 (IPS) left
1055,Area hIP5 (IPS) right
1056,Area hIP7 (IPS) left
1057,Area hIP7 (IPS) right
1058,Area hPO1 (POS) left
1059,Area hPO1 (POS) right
1060,"Area 6mp (SMA, mesial SFG) left"
1061,"Area 6mp (SMA, mesial SFG) right"
1062,"Area 6ma (preSMA, mesial SFG) left"
1063,"Area 6ma (preSMA, mesial SFG) right"
1064,HC-Transsubiculum (Hippocampus) left
1065,HC-Transsubiculum (Hippocampus) right
1066,Tuberculum (Basal Forebrain) left
1067,Tuberculum (Basal Forebrain) right
1068,Terminal islands (Basal Forebrain) left
1069,Terminal islands (Basal Forebrain) right
1070,Area Fo4 (OFC) left
1071,Area Fo4 (OFC) right
1072,Area Fo5 (OFC) left
1073,Area Fo5 (OFC) right
1074,Area Fo6 (OFC) left
1075,Area Fo6 (OFC) right
1076,Area Fo7 (OFC) left
1077,Area Fo7 (OFC) right
1078,Area 8d1 (SFG) left
1079,Area 8d1 (SFG) right
1080,Area 8d2 (SFG) left
1081,Area 8d2 (SFG) right
1082,Area 8v2 (MFG) left
1083,Area 8v2 (MFG) right
1084,Area 8v1 (MFG) left
1085,Area 8v1 (MFG) right
1086,Area Ig3 (Insula) left
1087,Area Ig3 (Insula) right
1088,Area Id4 (Insula) left
1089,Area Id4 (Insula) right
1090,Area Id5 (Insula) left
1091,Area Id5 (Insula) right
1092,Area Ia1 (Insula) left
1093,Area Ia1 (Insula) right
1094,Area Id6 (Insula) left
1095,Area Id6 (Insula) right
1096,Area SFS1 (SFS) left
1097,Area SFS1 (SFS) right
1098,Area SFS2 (SFS) left
1099,Area SFS2 (SFS) right
1100,Area MFG1 (MFG) left
1101,Area MFG1 (MFG) right
1102,Area MFG2 (MFG) left
1103,Area MFG2 (MFG) right
1104,Area Op5 (Frontal Operculum) left
1105,Area Op5 (Frontal Operculum) right
1106,Area Op6 (Frontal Operculum) left
1107,Area Op6 (Frontal Operculum) right
1108,Area Op7 (Frontal Operculum) left
1109,Area Op7 (Frontal Operculum) right
1110,Area Ph1 (PhG) left
1111,Area Ph1 (PhG) right
1112,Area Ph2 (PhG) left
1113,Area Ph2 (PhG) right
1114,Area Ph3 (PhG) left
1115,Area Ph3 (PhG) right
1116,Area CoS1 (CoS) left
1117,Area CoS1 (CoS) right
1118,"AcbM (Medial Accumbens, Ventral Striatum) left"
1119,"AcbM (Medial Accumbens, Ventral Striatum) right"
1120,"FuCd (Fundus of Caudate Nucleus, Ventral Striatum) left"
1121,"FuCd (Fundus of Caudate Nucleus, Ventral Striatum) right"
1122,"FuP (Fundus of Putamen, Ventral Striatum) left"
1123,"FuP (Fundus of Putamen, Ventral Striatum) right"
1124,"AcbL (Lateral Accumbens, Ventral Striatum) left"
1125,"AcbL (Lateral Accumbens, Ventral Striatum) right"
1126,VP (Ventral Pallidum) left
1127,VP (Ventral Pallidum) right
1128,CGL (Metathalamus) left
1129,CGL (Metathalamus) right
1130,CGM (Metathalamus) left
1131,CGM (Metathalamus) right
1132,STN (Subthalamus) left
1133,STN (Subthalamus) right
1134,Area Id9 (Insula) left
1135,Area Id9 (Insula) right
1136,Area Ia3 (Insula) left
1137,Area Ia3 (Insula) right
1138,Area Ia2 (Insula) left
1139,Area Ia2 (Insula) right
1140,Area Id8 (Insula) left
1141,Area Id8 (Insula) right
1142,Area Id10 (Insula) left
1143,Area Id10 (Insula) right
1144,BST (Bed Nucleus) left
1145,BST (Bed Nucleus) right
1146,Frontal-I (GapMap) left
1147,Frontal-I (GapMap) right
1148,Frontal-II (GapMap) left
1149,Frontal-II (GapMap) right
1150,Temporal-to-Parietal (GapMap) left
1151,Temporal-to-Parietal (GapMap) right
1152,Frontal-to-Occipital (GapMap) left
1153,Frontal-to-Occipital (GapMap) right
1154,Frontal-to-Temporal-I (GapMap) left
1155,Frontal-to-Temporal-I (GapMap) right
1156,Frontal-to-Temporal-II (GapMap) left
1157,Frontal-to-Temporal-II (GapMap) right
