label,region
195,Area hOc4lp (LOC) left
196,Area hOc4la (LOC) left
197,Area hOc4d (Cuneus) left
198,Area hOc3d (Cuneus) left
199,Area 4p (PreCG) left
200,Area 4a (PreCG) left
201,Area 1 (PostCG) left
202,Area 3a (PostCG) left
203,Area 3b (PostCG) left
204,Area hIP1 (IPS) left
205,Area hIP2 (IPS) left
206,Area 5L (SPL) left
207,Area 5M (SPL) left
208,Area 7PC (SPL) left
209,Area hIP3 (IPS) left
210,Area 7A (SPL) left
211,Area 7M (SPL) left
212,Area 5Ci (SPL) left
213,Area Id7 (Insula) left
214,Area s24 (sACC) left
215,Area 25 (sACC) left
216,SF (Amygdala) left
217,LB (Amygdala) left
218,Area PF (IPL) left
219,Area 7P (SPL) left
220,Area Fp2 (FPole) left
221,Area Fp1 (FPole) left
222,Fastigial Nucleus (Cerebellum) left
223,VTM (Amygdala) left
224,Area p24ab (pACC) left
225,Area p24c (pACC) left
226,MF (Amygdala) left
227,Area FG4 (FusG) left
228,Area FG3 (FusG) left
229,Dorsal Dentate Nucleus (Cerebellum) left
230,Ventral Dentate Nucleus (Cerebellum) left
231,Area TeI (STG) left
232,Area TI (STG) left
233,Area IFS1 (IFS) left
234,Area IFS2 (IFS) left
235,Area IFS3 (IFS) left
236,Area IFS4 (IFS) left
237,"Area IFJ1 (IFS,PreCS) left"
238,"Area IFJ2 (IFS,PreCS) left"
239,Interposed Nucleus (Cerebellum) left
240,Area 2 (PostCS) left
241,Ch 4 (Basal Forebrain) left
242,Area STS1 (STS) left
243,Area STS2 (STS) left
244,Area Op8 (Frontal Operculum) left
245,Area Op9 (Frontal Operculum) left
246,Ch 123 (Basal Forebrain) left
247,Area 6d1 (PreCG) left
248,Area 6d2 (PreCG) left
249,Area 6d3 (SFS) left
250,CM (Amygdala) left
251,Area hOc6 (POS) left
252,Area hIP6 (IPS) left
253,Area hIP8 (IPS) left
254,Area hIP4 (IPS) left
255,Area hIP5 (IPS) left
256,Area hIP7 (IPS) left
257,Area hPO1 (POS) left
258,"Area 6mp (SMA, mesial SFG) left"
259,"Area 6ma (preSMA, mesial SFG) left"
260,HC-Transsubiculum (Hippocampus) left
261,Area Fo4 (OFC) left
262,Area Fo5 (OFC) left
263,Area Fo6 (OFC) left
264,Area Fo7 (OFC) left
265,Area 8d1 (SFG) left
266,Area 8d2 (SFG) left
267,Area 8v2 (MFG) left
268,Area 8v1 (MFG) left
269,Area Ig3 (Insula) left
270,Area Id4 (Insula) left
271,Area Id5 (Insula) left
272,Area Ia1 (Insula) left
273,Area Id6 (Insula) left
274,Area Op5 (Frontal Operculum) left
275,Area Op6 (Frontal Operculum) left
276,Area Op7 (Frontal Operculum) left
277,Area Ph1 (PhG) left
278,Area Ph2 (PhG) left
279,Area Ph3 (PhG) left
280,Area CoS1 (CoS) left
281,CGL (Metathalamus) left
282,CGM (Metathalamus) left
283,Area Id9 (Insula) left
284,Area Ia3 (Insula) left
285,Area Ia2 (Insula) left
286,Area Id8 (Insula) left
287,Area Id10 (Insula) left
288,BST (Bed Nucleus) left
289,Frontal-I (GapMap) left
290,Frontal-II (GapMap) left
291,Temporal-to-Parietal (GapMap) left
292,Frontal-to-Occipital (GapMap) left
293,Frontal-to-Temporal-I (GapMap) left
294,Frontal-to-Temporal-II (GapMap) left
